Food_ID,Food_Name,Alias,Category,Meal_Type,Serving_Size,Calories_kcal,Protein_g,Carbs_g,Fat_g,Fiber_g,Sugar_g,Sodium_mg,Veg_NonVeg,Health_Rating,WeightLoss,MuscleGain,WeightGain,HealthyLifestyle
898,Calamari,Calamari,Seafood,"Snack,Dinner",100g,255,18.0,16.0,13.0,1.0,1.0,620,Non-Veg,C,Moderate,Moderate,Yes,Moderate
899,Octopus Curry,Octopus Curry,Seafood,"Lunch,Dinner",1 Bowl (220g),220,24.0,6.0,10.0,2.0,1.0,430,Non-Veg,A,Yes,Yes,Yes,Yes
900,Lobster Curry,Lobster Curry,Seafood,"Lunch,Dinner",1 Bowl (220g),240,25.0,7.0,11.0,2.0,2.0,480,Non-Veg,B,Moderate,Yes,Yes,Moderate
901,Lobster Masala,Lobster Masala,Seafood,"Lunch,Dinner",1 Bowl (220g),250,25.0,8.0,12.0,2.0,2.0,500,Non-Veg,B,Moderate,Yes,Yes,Moderate
902,Mussels Curry,Mussels Curry,Seafood,"Lunch,Dinner",1 Bowl (220g),215,20.0,8.0,10.0,2.0,2.0,460,Non-Veg,A,Yes,Yes,Yes,Yes
903,Mussels Fry,Mussels Fry,Seafood,"Lunch,Dinner",100g,205,20.0,5.0,10.0,1.0,1.0,430,Non-Veg,A,Yes,Yes,Yes,Yes
904,Clam Curry,Clam Curry,Seafood,"Lunch,Dinner",1 Bowl (220g),210,19.0,8.0,10.0,2.0,2.0,450,Non-Veg,A,Yes,Yes,Yes,Yes
905,Clam Fry,Clam Fry,Seafood,"Lunch,Dinner",100g,200,19.0,5.0,10.0,1.0,1.0,420,Non-Veg,A,Yes,Yes,Yes,Yes
906,Oyster Curry,Oyster Curry,Seafood,"Lunch,Dinner",1 Bowl (220g),215,18.0,9.0,10.0,2.0,2.0,450,Non-Veg,A,Yes,Yes,Yes,Yes
907,Seafood Biryani,Seafood Biryani,Seafood,"Lunch,Dinner",1 Plate (300g),505,24.0,58.0,19.0,2.0,3.0,810,Non-Veg,C,Moderate,Yes,Yes,Moderate
908,Seafood Fried Rice,Seafood Fried Rice,Seafood,"Lunch,Dinner",1 Plate (280g),455,22.0,54.0,17.0,2.0,3.0,760,Non-Veg,C,Moderate,Yes,Yes,Moderate
909,Seafood Soup,Seafood Soup,Seafood,"Lunch,Dinner",1 Bowl (250ml),115,15.0,4.0,4.0,1.0,1.0,360,Non-Veg,A,Yes,Yes,Yes,Yes
910,Prawn Soup,Prawn Soup,Seafood,"Lunch,Dinner",1 Bowl (250ml),110,16.0,3.0,4.0,1.0,1.0,350,Non-Veg,A,Yes,Yes,Yes,Yes
911,Crab Soup,Crab Soup,Seafood,"Lunch,Dinner",1 Bowl (250ml),120,15.0,4.0,5.0,1.0,1.0,360,Non-Veg,A,Yes,Yes,Yes,Yes
912,Shrimp Fried Rice,Shrimp Fried Rice,Seafood,"Lunch,Dinner",1 Plate (280g),445,22.0,53.0,16.0,2.0,3.0,740,Non-Veg,C,Moderate,Yes,Yes,Moderate
913,Prawn Noodles,Prawn Noodles,Seafood,"Lunch,Dinner",1 Plate (280g),430,20.0,55.0,15.0,2.0,3.0,760,Non-Veg,C,Moderate,Moderate,Moderate,No
914,Crab Biryani,Crab Biryani,Seafood,"Lunch,Dinner",1 Plate (300g),495,23.0,57.0,18.0,2.0,3.0,790,Non-Veg,C,Moderate,Yes,Yes,Moderate
915,Shrimp Biryani,Shrimp Biryani,Seafood,"Lunch,Dinner",1 Plate (300g),490,23.0,57.0,18.0,2.0,3.0,780,Non-Veg,C,Moderate,Yes,Yes,Moderate
916,Prawn Cutlet,Prawn Cutlet,Seafood,Snack,2 Pieces (120g),285,18.0,16.0,16.0,2.0,2.0,620,Non-Veg,C,Moderate,Moderate,Yes,Moderate
917,Prawn Pakoda,Prawn Pakoda,Seafood,Snack,100g,300,18.0,17.0,17.0,1.0,1.0,690,Non-Veg,C,Moderate,Moderate,Yes,Moderate
918,Crab Cutlet,Crab Cutlet,Seafood,Snack,2 Pieces (120g),280,18.0,16.0,15.0,2.0,2.0,610,Non-Veg,C,Moderate,Moderate,Yes,Moderate
919,Prawn Kebab,Prawn Kebab,Seafood,"Lunch,Dinner",100g,225,25.0,5.0,10.0,1.0,1.0,420,Non-Veg,B,Moderate,Yes,Yes,Moderate
920,Garlic Prawns,Garlic Prawns,Seafood,"Lunch,Dinner",100g,210,25.0,3.0,9.0,0.0,0.0,380,Non-Veg,A,Yes,Yes,Yes,Yes
921,Butter Garlic Prawns,Butter Garlic Prawns,Seafood,"Lunch,Dinner",100g,260,24.0,4.0,15.0,0.0,0.0,520,Non-Veg,C,Moderate,Yes,Yes,Moderate
922,Prawn Roast,Prawn Roast,Seafood,"Lunch,Dinner",100g,215,25.0,2.0,10.0,0.0,0.0,340,Non-Veg,A,Yes,Yes,Yes,Yes
923,Crab Roast,Crab Roast,Seafood,"Lunch,Dinner",100g,220,23.0,2.0,11.0,0.0,0.0,350,Non-Veg,A,Yes,Yes,Yes,Yes
924,Egg Curry,Egg Curry,Egg,"Lunch,Dinner",1 Bowl (220g),210,14.0,7.0,13.0,2.0,2.0,480,Non-Veg,A,Yes,Yes,Yes,Yes
925,Egg Masala,Egg Masala,Egg,"Lunch,Dinner",1 Bowl (220g),225,15.0,8.0,14.0,2.0,2.0,510,Non-Veg,B,Moderate,Yes,Yes,Moderate
926,Egg Roast,Egg Roast,Egg,"Lunch,Dinner",2 Eggs,190,14.0,3.0,13.0,1.0,1.0,320,Non-Veg,A,Yes,Yes,Yes,Yes
927,Egg Fry,Egg Fry,Egg,"Lunch,Dinner",2 Eggs,205,14.0,2.0,15.0,0.0,0.0,300,Non-Veg,A,Yes,Yes,Yes,Yes
928,Anda Ghotala,Anda Ghotala,Egg,"Lunch,Dinner",1 Bowl,285,18.0,8.0,18.0,2.0,2.0,560,Non-Veg,B,Moderate,Yes,Yes,Moderate
929,Anda Bhurji,Anda Bhurji,Egg,"Breakfast,Lunch",1 Bowl,230,15.0,5.0,16.0,2.0,2.0,460,Non-Veg,A,Yes,Yes,Yes,Yes
930,Egg Keema,Egg Keema,Egg,"Lunch,Dinner",1 Bowl,245,17.0,6.0,17.0,2.0,2.0,480,Non-Veg,B,Moderate,Yes,Yes,Moderate
931,Keema Curry,Keema Curry,Mutton,"Lunch,Dinner",1 Bowl,335,24.0,7.0,22.0,2.0,2.0,590,Non-Veg,C,Moderate,Yes,Yes,Moderate
932,Keema Masala,Keema Masala,Mutton,"Lunch,Dinner",1 Bowl,345,24.0,8.0,23.0,2.0,2.0,610,Non-Veg,C,Moderate,Yes,Yes,Moderate
933,Nihari,Nihari,Mutton,"Lunch,Dinner",1 Bowl,365,25.0,8.0,25.0,2.0,2.0,650,Non-Veg,C,Moderate,Yes,Yes,Moderate
934,Paya Soup,Paya Soup,Mutton,"Lunch,Dinner",1 Bowl,190,15.0,5.0,12.0,1.0,1.0,420,Non-Veg,A,Yes,Yes,Yes,Yes
935,Bheja Fry,Bheja Fry,Mutton,"Lunch,Dinner",100g,245,12.0,3.0,20.0,0.0,0.0,390,Non-Veg,C,Moderate,Moderate,Yes,Moderate
936,Chicken Liver Masala,Chicken Liver Masala,Chicken,"Lunch,Dinner",100g,185,24.0,4.0,8.0,1.0,1.0,360,Non-Veg,A,Yes,Yes,Yes,Yes
937,Mutton Liver Fry,Mutton Liver Fry,Mutton,"Lunch,Dinner",100g,210,23.0,3.0,10.0,1.0,1.0,390,Non-Veg,A,Yes,Yes,Yes,Yes
938,Duck Egg Curry,Duck Egg Curry,Egg,"Lunch,Dinner",1 Bowl,235,15.0,7.0,16.0,2.0,2.0,490,Non-Veg,B,Moderate,Yes,Yes,Moderate
939,Boiled Quail Eggs,Boiled Quail Eggs,Egg,"Breakfast,Snack",4 Eggs,110,13.0,1.0,5.0,0.0,0.0,170,Non-Veg,A,Yes,Yes,Yes,Yes
940,Duck Egg,Duck Egg,Egg,Breakfast,1 Egg,130,9.0,1.0,10.0,0.0,0.0,140,Non-Veg,A,Yes,Yes,Yes,Yes
941,Quail Egg,Quail Egg,Egg,Breakfast,4 Eggs,56,7.0,0.0,4.0,0.0,0.0,90,Non-Veg,A,Yes,Yes,Yes,Yes
942,Boiled Mutton,Boiled Mutton,Mutton,"Lunch,Dinner",100g,250,27.0,0.0,15.0,0.0,0.0,120,Non-Veg,A,Yes,Yes,Yes,Yes
943,Boiled Goat Meat,Boiled Goat Meat,Goat,"Lunch,Dinner",100g,245,28.0,0.0,14.0,0.0,0.0,110,Non-Veg,A,Yes,Yes,Yes,Yes
944,Boiled Lamb,Boiled Lamb,Lamb,"Lunch,Dinner",100g,248,28.0,0.0,14.0,0.0,0.0,110,Non-Veg,A,Yes,Yes,Yes,Yes
945,Boiled Prawns,Boiled Prawns,Seafood,"Lunch,Dinner",100g,105,24.0,1.0,1.0,0.0,0.0,190,Non-Veg,A,Yes,Yes,Yes,Yes
946,Boiled Crab,Boiled Crab,Seafood,"Lunch,Dinner",100g,95,20.0,0.0,1.0,0.0,0.0,250,Non-Veg,A,Yes,Yes,Yes,Yes
947,Boiled Squid,Boiled Squid,Seafood,"Lunch,Dinner",100g,92,16.0,3.0,1.0,0.0,0.0,210,Non-Veg,A,Yes,Yes,Yes,Yes
948,Grilled Crab,Grilled Crab,Seafood,"Lunch,Dinner",100g,115,22.0,2.0,2.0,0.0,0.0,260,Non-Veg,A,Yes,Yes,Yes,Yes
949,Roasted Prawns,Roasted Prawns,Seafood,"Lunch,Dinner",100g,175,29.0,2.0,5.0,0.0,0.0,290,Non-Veg,A,Yes,Yes,Yes,Yes
950,Roasted Crab,Roasted Crab,Seafood,"Lunch,Dinner",100g,125,22.0,2.0,3.0,0.0,0.0,270,Non-Veg,A,Yes,Yes,Yes,Yes
951,Roasted Squid,Roasted Squid,Seafood,"Lunch,Dinner",100g,125,18.0,4.0,3.0,0.0,0.0,240,Non-Veg,A,Yes,Yes,Yes,Yes
952,Plain Omelette,Plain Omelette,Egg,Breakfast,2 Eggs,185,13.0,1.0,14.0,0.0,0.0,220,Non-Veg,A,Yes,Yes,Yes,Yes
953,Double Omelette,Double Omelette,Egg,Breakfast,3 Eggs,270,20.0,2.0,20.0,0.0,0.0,320,Non-Veg,A,Yes,Yes,Yes,Yes
954,Half Fry Egg,Half Fry Egg,Egg,Breakfast,1 Egg,90,6.0,0.0,7.0,0.0,0.0,120,Non-Veg,A,Yes,Yes,Yes,Yes
955,Sunny Side Up,Sunny Side Up,Egg,Breakfast,1 Egg,92,6.0,0.0,7.0,0.0,0.0,120,Non-Veg,A,Yes,Yes,Yes,Yes
956,Soft Boiled Egg,Soft Boiled Egg,Egg,Breakfast,1 Egg,72,6.0,0.0,5.0,0.0,0.0,70,Non-Veg,A,Yes,Yes,Yes,Yes
957,Hard Boiled Egg,Hard Boiled Egg,Egg,Breakfast,1 Egg,78,6.0,0.0,5.0,0.0,0.0,70,Non-Veg,A,Yes,Yes,Yes,Yes
958,Poached Egg,Poached Egg,Egg,Breakfast,1 Egg,71,6.0,0.0,5.0,0.0,0.0,70,Non-Veg,A,Yes,Yes,Yes,Yes
959,Scrambled Egg,Scrambled Egg,Egg,Breakfast,2 Eggs,180,13.0,2.0,13.0,1.0,1.0,210,Non-Veg,A,Yes,Yes,Yes,Yes
960,Egg White,Egg White,Egg,Breakfast,3 Egg Whites,51,11.0,1.0,0.0,0.0,0.0,160,Non-Veg,A,Yes,Yes,Yes,Yes
961,Egg Yolk,Egg Yolk,Egg,Breakfast,1 Yolk,55,3.0,0.0,5.0,0.0,0.0,20,Non-Veg,B,Moderate,No,Yes,Moderate
962,Raw Egg,Raw Egg,Egg,Breakfast,1 Egg,72,6.0,0.0,5.0,0.0,0.0,70,Non-Veg,A,Yes,Yes,Yes,Yes
963,Pani Puri,Pani Puri,Street Food,Snack,6 Pieces,320,6.0,52.0,10.0,3.0,8.0,620,Fast Food,C,No,Moderate,Moderate,No
964,Golgappa,Golgappa,Street Food,Snack,6 Pieces,320,6.0,52.0,10.0,3.0,8.0,620,Fast Food,C,No,Moderate,Moderate,No
965,Phuchka,Phuchka,Street Food,Snack,6 Pieces,315,6.0,51.0,10.0,4.0,7.0,600,Fast Food,C,No,Moderate,Moderate,No
966,Dahi Puri,Dahi Puri,Street Food,Snack,1 Plate,340,8.0,45.0,14.0,3.0,6.0,480,Fast Food,C,No,Moderate,Moderate,Moderate
967,Sev Puri,Sev Puri,Street Food,Snack,1 Plate,380,7.0,48.0,17.0,4.0,5.0,620,Fast Food,D,No,Moderate,Moderate,No
968,Ragda Puri,Ragda Puri,Street Food,Snack,1 Plate,365,10.0,52.0,13.0,6.0,5.0,590,Fast Food,C,Moderate,Yes,Moderate,Moderate
969,Bhel Puri,Bhel Puri,Street Food,Snack,1 Plate,310,8.0,48.0,10.0,5.0,6.0,560,Fast Food,B,Moderate,Moderate,Moderate,Moderate
970,Sev Bhel,Sev Bhel,Street Food,Snack,1 Plate,340,8.0,49.0,14.0,5.0,5.0,620,Fast Food,C,No,Moderate,Moderate,No
971,Dry Bhel,Dry Bhel,Street Food,Snack,1 Plate,295,8.0,47.0,9.0,5.0,5.0,520,Fast Food,B,Moderate,No,Moderate,Moderate
972,Wet Bhel,Wet Bhel,Street Food,Snack,1 Plate,305,8.0,48.0,9.0,5.0,6.0,540,Fast Food,B,Moderate,Moderate,Moderate,Moderate
973,Masala Bhel,Masala Bhel,Street Food,Snack,1 Plate,325,9.0,49.0,11.0,5.0,5.0,570,Fast Food,B,Moderate,Moderate,Moderate,Moderate
974,Corn Bhel,Corn Bhel,Street Food,Snack,1 Plate,330,9.0,50.0,10.0,6.0,6.0,520,Fast Food,B,Moderate,Moderate,Moderate,Moderate
975,Sprouts Bhel,Sprouts Bhel,Street Food,Snack,1 Plate,290,11.0,42.0,8.0,8.0,4.0,460,Fast Food,A,Yes,Yes,Yes,Yes
976,Jhal Muri,Jhal Muri,Street Food,Snack,1 Plate,280,7.0,48.0,8.0,4.0,4.0,470,Fast Food,B,Moderate,No,Moderate,Moderate
977,Churmuri,Churmuri,Street Food,Snack,1 Plate,285,7.0,47.0,9.0,4.0,4.0,480,Fast Food,B,Moderate,No,Moderate,Moderate
978,Sukha Puri,Sukha Puri,Street Food,Snack,1 Plate,250,5.0,38.0,9.0,2.0,2.0,420,Fast Food,B,Moderate,No,Moderate,Moderate
979,Masala Puri,Masala Puri,Street Food,Snack,1 Plate,360,9.0,52.0,13.0,6.0,5.0,610,Fast Food,C,Moderate,Yes,Moderate,Moderate
980,Dahi Batata Puri,Dahi Batata Puri,Street Food,Snack,1 Plate,355,8.0,46.0,15.0,4.0,6.0,490,Fast Food,C,No,Moderate,Moderate,Moderate
981,Aloo Chaat,Aloo Chaat,Street Food,Snack,1 Plate,330,5.0,42.0,16.0,4.0,4.0,580,Fast Food,C,No,Moderate,Moderate,No
982,Fruit Chaat,Fruit Chaat,Street Food,Snack,1 Plate,180,3.0,38.0,1.0,5.0,22.0,120,Fast Food,A,Yes,No,Yes,Yes
983,Papdi Chaat,Papdi Chaat,Street Food,Snack,1 Plate,380,8.0,47.0,17.0,4.0,6.0,620,Fast Food,D,No,Moderate,Moderate,No
984,Dahi Papdi Chaat,Dahi Papdi Chaat,Street Food,Snack,1 Plate,360,9.0,45.0,15.0,4.0,6.0,500,Fast Food,C,No,Moderate,Moderate,Moderate
985,Samosa Chaat,Samosa Chaat,Street Food,Snack,1 Plate,430,9.0,48.0,22.0,5.0,5.0,690,Fast Food,D,No,Moderate,Moderate,No
986,Kachori Chaat,Kachori Chaat,Street Food,Snack,1 Plate,445,10.0,50.0,23.0,5.0,5.0,710,Fast Food,D,No,Moderate,Moderate,No
987,Ragda Patties,Ragda Patties,Street Food,Snack,1 Plate,390,11.0,50.0,16.0,7.0,5.0,620,Fast Food,C,Moderate,Yes,Moderate,Moderate
988,Aloo Tikki Chaat,Aloo Tikki Chaat,Street Food,Snack,1 Plate,410,8.0,48.0,20.0,5.0,5.0,650,Fast Food,D,No,Moderate,Moderate,No
989,Tokri Chaat,Tokri Chaat,Street Food,Snack,1 Plate,450,8.0,50.0,24.0,5.0,6.0,720,Fast Food,D,No,Moderate,Moderate,No
990,Khasta Chaat,Khasta Chaat,Street Food,Snack,1 Plate,435,9.0,49.0,22.0,5.0,5.0,700,Fast Food,D,No,Moderate,Moderate,No
991,Moong Dal Chaat,Moong Dal Chaat,Street Food,Snack,1 Plate,260,13.0,32.0,8.0,8.0,3.0,360,Fast Food,A,Yes,Yes,Yes,Yes
992,Chana Chaat,Chana Chaat,Street Food,Snack,1 Plate,275,12.0,35.0,8.0,9.0,4.0,380,Fast Food,A,Yes,Yes,Yes,Yes
993,Vada Pav,Vada Pav,Street Food,Snack,1 Piece,310,8.0,38.0,14.0,3.0,3.0,620,Fast Food,C,No,Moderate,Moderate,No
994,Cheese Vada Pav,Cheese Vada Pav,Street Food,Snack,1 Piece,395,11.0,39.0,21.0,3.0,3.0,710,Fast Food,D,No,Moderate,Moderate,No
995,Jumbo Vada Pav,Jumbo Vada Pav,Street Food,Snack,1 Piece,430,10.0,48.0,21.0,4.0,4.0,780,Fast Food,D,No,Moderate,Moderate,No
996,Schezwan Vada Pav,Schezwan Vada Pav,Street Food,Snack,1 Piece,355,9.0,40.0,17.0,3.0,4.0,690,Fast Food,D,No,Moderate,Moderate,No
997,Grilled Vada Pav,Grilled Vada Pav,Street Food,Snack,1 Piece,345,9.0,39.0,16.0,3.0,3.0,640,Fast Food,C,No,Moderate,Moderate,No
999,Cheese Misal Pav,Cheese Misal Pav,Street Food,"Breakfast,Snack",1 Plate,510,20.0,54.0,25.0,9.0,5.0,880,Fast Food,D,No,Moderate,Moderate,No
1000,Bhaji Pav,Bhaji Pav,Street Food,Snack,1 Plate,390,9.0,50.0,16.0,6.0,5.0,650,Fast Food,C,Moderate,Moderate,Moderate,Moderate
1001,Pav Bhaji,Pav Bhaji,Street Food,Snack,1 Plate,410,10.0,52.0,17.0,7.0,6.0,720,Fast Food,C,Moderate,Moderate,Moderate,Moderate
1002,Cheese Pav Bhaji,Cheese Pav Bhaji,Street Food,Snack,1 Plate,520,16.0,54.0,27.0,7.0,6.0,890,Fast Food,D,No,Moderate,Moderate,No
1003,Extra Butter Pav Bhaji,Extra Butter Pav Bhaji,Street Food,Snack,1 Plate,560,11.0,52.0,33.0,7.0,6.0,910,Fast Food,D,No,Moderate,Moderate,No
1004,Khada Pav Bhaji,Khada Pav Bhaji,Street Food,Snack,1 Plate,430,10.0,54.0,18.0,7.0,6.0,730,Fast Food,C,Moderate,Moderate,Moderate,Moderate
1005,Masala Pav,Masala Pav,Street Food,Snack,1 Plate,340,8.0,42.0,15.0,3.0,4.0,620,Fast Food,C,No,Moderate,Moderate,No
1006,Cheese Masala Pav,Cheese Masala Pav,Street Food,Snack,1 Plate,430,12.0,43.0,23.0,3.0,4.0,760,Fast Food,D,No,Moderate,Moderate,No
1007,Butter Masala Pav,Butter Masala Pav,Street Food,Snack,1 Plate,395,8.0,42.0,20.0,3.0,4.0,710,Fast Food,D,No,Moderate,Moderate,No
1008,Dabeli,Dabeli,Street Food,Snack,1 Piece,360,8.0,46.0,16.0,4.0,6.0,650,Fast Food,C,No,Moderate,Moderate,No
1009,Cheese Dabeli,Cheese Dabeli,Street Food,Snack,1 Piece,450,12.0,47.0,24.0,4.0,6.0,790,Fast Food,D,No,Moderate,Moderate,No
1010,Butter Dabeli,Butter Dabeli,Street Food,Snack,1 Piece,410,8.0,46.0,21.0,4.0,6.0,730,Fast Food,D,No,Moderate,Moderate,No
1011,Samosa Pav,Samosa Pav,Street Food,Snack,1 Piece,420,10.0,47.0,21.0,4.0,4.0,760,Fast Food,D,No,Moderate,Moderate,No
1012,Bhajiya Pav,Bhajiya Pav,Street Food,Snack,1 Piece,390,9.0,43.0,19.0,3.0,3.0,700,Fast Food,D,No,Moderate,Moderate,No
1013,Cutlet Pav,Cutlet Pav,Street Food,Snack,1 Piece,380,10.0,42.0,18.0,3.0,3.0,680,Fast Food,C,No,Moderate,Moderate,No
1014,Omelette Pav,Omelette Pav,Street Food,Snack,1 Plate,350,17.0,30.0,17.0,2.0,2.0,590,Fast Food,C,Moderate,Yes,Yes,Moderate
1015,Bhurji Pav,Bhurji Pav,Street Food,Snack,1 Plate,390,18.0,33.0,20.0,2.0,2.0,640,Fast Food,C,Moderate,Yes,Yes,Moderate
1016,Keema Pav,Keema Pav,Street Food,Snack,1 Plate,480,24.0,35.0,26.0,2.0,2.0,720,Fast Food,D,Moderate,Yes,Yes,Moderate
1017,Chicken Keema Pav,Chicken Keema Pav,Street Food,Snack,1 Plate,460,28.0,34.0,22.0,2.0,2.0,700,Fast Food,C,Moderate,Yes,Yes,Moderate
1019,Ragda Pav,Ragda Pav,Street Food,Snack,1 Plate,365,12.0,51.0,13.0,7.0,4.0,590,Fast Food,C,Moderate,Yes,Moderate,Moderate
1020,Matar Usal Pav,Matar Usal Pav,Street Food,"Breakfast,Snack",1 Plate,385,14.0,50.0,14.0,8.0,4.0,610,Fast Food,C,Moderate,Yes,Moderate,Moderate
1021,Chole Pav,Chole Pav,Street Food,Snack,1 Plate,430,15.0,56.0,17.0,9.0,5.0,720,Fast Food,C,Moderate,Yes,Moderate,Moderate
1022,Paneer Bhurji Pav,Paneer Bhurji Pav,Street Food,Snack,1 Plate,450,20.0,34.0,25.0,2.0,2.0,690,Fast Food,C,Moderate,Yes,Yes,Moderate
1023,Kachori,Kachori,Street Food,Snack,1 Piece,290,7.0,32.0,15.0,3.0,2.0,480,Fast Food,C,No,No,Moderate,No
1024,Pyaz Kachori,Pyaz Kachori,Street Food,Snack,1 Piece,315,7.0,34.0,17.0,3.0,2.0,520,Fast Food,C,No,Moderate,Moderate,No
1025,Dal Kachori,Dal Kachori,Street Food,Snack,1 Piece,305,9.0,33.0,16.0,4.0,2.0,500,Fast Food,C,No,Moderate,Moderate,No
1026,Mawa Kachori,Mawa Kachori,Street Food,Snack,1 Piece,425,8.0,45.0,24.0,2.0,18.0,390,Fast Food,D,No,Moderate,Moderate,No
1027,Samosa,Samosa,Street Food,Snack,1 Piece,260,5.0,30.0,13.0,3.0,2.0,430,Fast Food,C,No,No,Moderate,No
1028,Punjabi Samosa,Punjabi Samosa,Street Food,Snack,1 Piece,295,6.0,34.0,15.0,3.0,2.0,470,Fast Food,C,No,No,Moderate,No
1029,Mini Samosa,Mini Samosa,Street Food,Snack,4 Pieces,280,6.0,31.0,14.0,3.0,2.0,450,Fast Food,C,No,No,Moderate,No
1030,Bread Pakoda,Bread Pakoda,Street Food,Snack,1 Piece,340,8.0,36.0,18.0,2.0,2.0,610,Fast Food,D,No,Moderate,Moderate,No
1031,Paneer Pakoda,Paneer Pakoda,Street Food,Snack,5 Pieces,360,15.0,18.0,24.0,2.0,2.0,560,Fast Food,C,Moderate,Yes,Moderate,Moderate
1032,Mirchi Bhaji,Mirchi Bhaji,Street Food,Snack,3 Pieces,250,5.0,24.0,15.0,4.0,2.0,460,Fast Food,C,No,No,Moderate,No
1033,Onion Bhaji,Onion Bhaji,Street Food,Snack,1 Plate,320,6.0,28.0,20.0,3.0,3.0,540,Fast Food,D,No,Moderate,Moderate,No
1034,Mix Pakoda,Mix Pakoda,Street Food,Snack,1 Plate,345,8.0,30.0,21.0,4.0,2.0,580,Fast Food,D,No,Moderate,Moderate,No
1035,Aloo Tikki,Aloo Tikki,Street Food,Snack,2 Pieces,290,5.0,34.0,15.0,4.0,2.0,470,Fast Food,C,No,No,Moderate,No
1036,Dhokla,Dhokla,Street Food,Snack,4 Pieces,180,8.0,28.0,4.0,3.0,4.0,360,Fast Food,A,Yes,Yes,Yes,Yes
1037,Khaman,Khaman,Street Food,Snack,1 Plate,190,8.0,30.0,4.0,3.0,4.0,380,Fast Food,A,Yes,Yes,Yes,Yes
1040,Imarti,Imarti,Street Food,Snack,100g,425,5.0,70.0,14.0,1.0,46.0,190,Fast Food,D,No,No,Moderate,No
1041,Kulcha,Kulcha,Street Food,Snack,2 Pieces,310,9.0,50.0,8.0,2.0,3.0,520,Fast Food,C,Moderate,Moderate,Moderate,Moderate
1042,Chole Kulche,Chole Kulche,Street Food,Snack,1 Plate,460,15.0,60.0,18.0,9.0,5.0,760,Fast Food,C,Moderate,Yes,Moderate,Moderate
1043,Poha Cutlet,Poha Cutlet,Street Food,Snack,2 Pieces,280,6.0,34.0,13.0,3.0,2.0,430,Fast Food,C,No,No,Moderate,No
1044,Sabudana Vada,Sabudana Vada,Street Food,Snack,2 Pieces,360,5.0,38.0,20.0,2.0,2.0,520,Fast Food,D,No,Moderate,Moderate,No
1045,Batata Vada,Batata Vada,Street Food,Snack,2 Pieces,290,5.0,32.0,15.0,3.0,2.0,470,Fast Food,C,No,No,Moderate,No
1046,Mendu Vada,Mendu Vada,Street Food,Snack,2 Pieces,310,8.0,32.0,17.0,4.0,1.0,510,Fast Food,C,Moderate,Moderate,Moderate,Moderate
1047,Corn Chaat,Corn Chaat,Street Food,Snack,1 Cup,230,7.0,38.0,6.0,5.0,5.0,320,Fast Food,B,Moderate,No,Moderate,Moderate
1048,Roasted Bhutta,Roasted Bhutta,Street Food,Snack,1 Cob,170,5.0,36.0,2.0,4.0,6.0,140,Fast Food,A,Yes,Yes,Yes,Yes
1049,Bhutta Masala,Bhutta Masala,Street Food,Snack,1 Cob,185,5.0,37.0,3.0,4.0,6.0,220,Fast Food,A,Yes,Yes,Yes,Yes
1050,Makai Chaat,Makai Chaat,Street Food,Snack,1 Bowl,220,7.0,36.0,5.0,5.0,5.0,300,Fast Food,B,Moderate,No,Moderate,Moderate
1051,Ram Ladoo,Ram Ladoo,Street Food,Snack,1 Plate,330,11.0,38.0,15.0,6.0,3.0,540,Fast Food,C,Moderate,Yes,Moderate,Moderate
1052,Pattice,Pattice,Street Food,Snack,2 Pieces,310,6.0,36.0,16.0,3.0,2.0,470,Fast Food,C,No,Moderate,Moderate,No
1053,Veg Cutlet,Veg Cutlet,Street Food,Snack,2 Pieces,285,6.0,33.0,14.0,4.0,2.0,430,Fast Food,C,No,No,Moderate,No
1054,Paneer Cutlet,Paneer Cutlet,Street Food,Snack,2 Pieces,340,13.0,22.0,22.0,2.0,2.0,520,Fast Food,C,Moderate,Yes,Moderate,Moderate
1055,Veg Puff,Veg Puff,Street Food,Snack,1 Piece,330,6.0,34.0,19.0,2.0,2.0,510,Fast Food,D,No,Moderate,Moderate,No
1056,Paneer Puff,Paneer Puff,Street Food,Snack,1 Piece,360,10.0,32.0,22.0,2.0,2.0,560,Fast Food,D,No,Moderate,Moderate,No
1057,Egg Puff,Egg Puff,Street Food,Snack,1 Piece,345,11.0,30.0,21.0,2.0,2.0,540,Fast Food,C,Moderate,Yes,Moderate,Moderate
1058,Chicken Puff,Chicken Puff,Street Food,Snack,1 Piece,370,14.0,30.0,22.0,2.0,2.0,570,Fast Food,C,Moderate,Yes,Moderate,Moderate
1059,Vegetable Sandwich,Vegetable Sandwich,Street Food,Snack,1 Sandwich,320,8.0,42.0,13.0,4.0,4.0,540,Fast Food,C,Moderate,Moderate,Moderate,Moderate
1060,Grilled Sandwich,Grilled Sandwich,Street Food,Snack,1 Sandwich,390,12.0,41.0,20.0,4.0,4.0,650,Fast Food,C,No,Moderate,Moderate,No
1062,Cheese Grilled Sandwich,Cheese Grilled Sandwich,Street Food,Snack,1 Sandwich,485,18.0,40.0,29.0,3.0,4.0,760,Fast Food,D,No,Moderate,Moderate,No
1063,Frankie,Frankie,Street Food,Snack,1 Roll,410,12.0,45.0,20.0,3.0,3.0,690,Fast Food,C,No,Moderate,Moderate,No
1064,Veg Frankie,Veg Frankie,Street Food,Snack,1 Roll,395,11.0,46.0,18.0,4.0,3.0,660,Fast Food,C,Moderate,Moderate,Moderate,Moderate
